Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0661,Q31BM3,Q31BM3_PROM9 Ribonucleotide reductase (Class II) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0661 PE=4 SV=1,F,ribonucleotide reductase (class II),,K00524,Cytoplasmic,777,,,,,,,,,50.33,1.03,9.85E-09,4.46E-08,19.67,0.3,2.81E-09,1.27E-08
psbA1,Q31A92,PSBA_PROM9 Photosystem II protein D1 OS=Prochlorococcus marinus (strain MIT 9312) GN=psbA1 PE=3 SV=1,C,This is one of the two reaction center proteins of photosystem II,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",K02703,CytoplasmicMembrane,360,,,,,,,,,49.33,1.01,9.65E-09,4.37E-08,34.33,0.52,4.90E-09,2.22E-08
aroA,Q31BS1,AROA_PROM9 3-phosphoshikimate 1-carboxyvinyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=aroA PE=3 SV=1,E,5-enolpyruvylshikimate-3-phosphate synthase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00800,Cytoplasmic,436,,,,,,,,,49,1.01,9.59E-09,4.34E-08,,,,
glgB,Q31BV0,"GLGB_PROM9 1,4-alpha-glucan branching enzyme GlgB OS=Prochlorococcus marinus (strain MIT 9312) GN=glgB PE=3 SV=1",G,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)",,K00700,Cytoplasmic,754,,,,,,,,,48.67,1,9.52E-09,4.31E-08,18,0.27,2.57E-09,1.16E-08
PMT9312_0530,Q31C04,Q31C04_PROM9 SSU ribosomal protein S1P OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0530 PE=4 SV=1,J,30S ribosomal protein S1,,K02945,Cytoplasmic,404,,,,,,,,,48.33,0.99,9.46E-09,4.28E-08,20.33,0.31,2.90E-09,1.31E-08
atpF,Q318T9,ATPF_PROM9 ATP synthase subunit b OS=Prochlorococcus marinus (strain MIT 9312) GN=atpF PE=3 SV=1,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0016469,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944",K02109,Cytoplasmic,170,,,,,,,,,47.33,0.97,9.26E-09,4.19E-08,34.67,0.52,4.95E-09,2.24E-08
dapL,Q318P3,DAPAT_PROM9 LL-diaminopimelate aminotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=dapL PE=3 SV=1,E,"Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate, a reaction that requires three enzymes in E.coli (By similarity)",,K10206,Cytoplasmic,408,,,,,,,,,47.33,0.97,9.26E-09,4.19E-08,18.33,0.28,2.62E-09,1.19E-08
PMT9312_0213,Q31CX0,Q31CX0_PROM9 Thioredoxin-disulfide reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0213 PE=4 SV=1,O,FAD-dependent pyridine nucleotide-disulphide oxidoreductase (EC 1.8.1.9),,K00384,Cytoplasmic,318,,,,,,,,,46,0.95,9.00E-09,4.07E-08,15,0.23,2.14E-09,9.70E-09
PMT9312_0400,Q31CD4,Q31CD4_PROM9 Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0400 PE=3 SV=1,C,branched-chain alpha-keto acid dehydrogenase subunit E2,,K00627,Cytoplasmic,455,,,,,,,,,45.67,0.94,8.94E-09,4.04E-08,30.33,0.46,4.33E-09,1.96E-08
PMT9312_1003,Q31AN2,Q31AN2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1003 PE=4 SV=1,S,Protein of unknown function (DUF3303),,,Cytoplasmic,106,,,,,,,,,44.67,0.92,8.74E-09,3.96E-08,29.33,0.44,4.19E-09,1.90E-08
pheT,Q31AV5,SYFB_PROM9 Phenylalanine--tRNA ligase beta subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=pheT PE=3 SV=1,J,phenylalanyl-tRNA synthetase beta subunit,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01890,Cytoplasmic,814,,,,,,,,,44.67,0.92,8.74E-09,3.96E-08,23.67,0.36,3.38E-09,1.53E-08
hemC,Q31C38,HEM3_PROM9 Porphobilinogen deaminase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemC PE=3 SV=1,H,Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity),,K01749,Cytoplasmic,316,,,,,,,,,44.33,0.91,8.68E-09,3.93E-08,7,0.11,1.00E-09,4.52E-09
ilvD,Q31BA3,ILVD_PROM9 Dihydroxy-acid dehydratase OS=Prochlorococcus marinus (strain MIT 9312) GN=ilvD PE=3 SV=1,E,Dihydroxy-acid dehydratase,,K01687,Cytoplasmic,557,,,,,,,,,43.33,0.89,8.48E-09,3.84E-08,7,0.11,1.00E-09,4.52E-09
PMT9312_1793,Q317U1,Q317U1_PROM9 Aconitate hydratase B OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1793 PE=3 SV=1,C,Aconitate hydratase 2,,K01682,Cytoplasmic,857,,,,,,,,,42.33,0.87,8.28E-09,3.75E-08,23,0.35,3.29E-09,1.49E-08
efp,Q31DF8,EFP_PROM9 Elongation factor P OS=Prochlorococcus marinus (strain MIT 9312) GN=efp PE=3 SV=1,J,"Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02356,Cytoplasmic,186,,,,,,,,,42,0.86,8.22E-09,3.72E-08,58.67,0.88,8.38E-09,3.79E-08
frr,Q31C13,RRF_PROM9 Ribosome-recycling factor OS=Prochlorococcus marinus (strain MIT 9312) GN=frr PE=3 SV=1,J,Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02838,Cytoplasmic,182,,,,,,,,,42,0.86,8.22E-09,3.72E-08,17.67,0.27,2.52E-09,1.14E-08
topA,Q31C99,Q31C99_PROM9 DNA topoisomerase 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=topA PE=3 SV=1,L,"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)",,K03168,Cytoplasmic,868,,,,,,,,,42,0.86,8.22E-09,3.72E-08,12,0.18,1.71E-09,7.76E-09
tpiA,Q31AR4,TPIS_PROM9 Triosephosphate isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=tpiA PE=3 SV=1,G,Triose-phosphate isomerase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01803,Cytoplasmic,241,,,,,,,,,41.33,0.85,8.09E-09,3.66E-08,10.33,0.16,1.48E-09,6.68E-09
PMT9312_1099,Q31AD7,Q31AD7_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1099 PE=3 SV=1,O,Clp protease ATP-binding subunit,,K03696,Cytoplasmic,842,,,,,,,,,41,0.84,8.02E-09,3.63E-08,18.33,0.28,2.62E-09,1.19E-08
ileS,Q31CU4,SYI_PROM9 Isoleucine--tRNA ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=ileS PE=3 SV=1,J,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01870,Cytoplasmic,968,,,,,,,,,40.67,0.84,7.96E-09,3.60E-08,13.67,0.21,1.95E-09,8.83E-09
gyrB,Q318A7,Q318A7_PROM9 DNA gyrase subunit B OS=Prochlorococcus marinus (strain MIT 9312) GN=gyrB PE=3 SV=1,L,"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)","GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0034641,GO:0034645,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658",K02470,Cytoplasmic,655,,,,,,,,,40.67,0.84,7.96E-09,3.60E-08,12,0.18,1.71E-09,7.76E-09
PMT9312_0923,Q31AW2,Q31AW2_PROM9 Methionine synthase (B12-dependent) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0923 PE=4 SV=1,E,Methionine synthase,,K00548,Cytoplasmic,1188,,,,,,,,,40.33,0.83,7.89E-09,3.57E-08,8.33,0.13,1.19E-09,5.39E-09
PMT9312_1680,Q318F4,Q318F4_PROM9 Conserved carboxylase domain OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1680 PE=4 SV=1,S,carboxylase domain-containing protein,,,Cytoplasmic,214,,,,,,,,,39.67,0.82,7.76E-09,3.51E-08,18.33,0.28,2.62E-09,1.19E-08
PMT9312_0171,Q31D12,"Q31D12_PROM9 Two component transcriptional regulator, LuxR family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0171 PE=4 SV=1",T,"Two Component Transcriptional Regulator, LuxR family",,,Cytoplasmic,242,,,,,,,,,39,0.8,7.63E-09,3.45E-08,6.33,0.1,9.05E-10,4.09E-09
secA,Q318A2,SECA_PROM9 Protein translocase subunit SecA OS=Prochlorococcus marinus (strain MIT 9312) GN=secA PE=3 SV=1,U,"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K03070,Cytoplasmic,943,,,,,,,,,38.33,0.79,7.50E-09,3.39E-08,38.67,0.58,5.52E-09,2.50E-08
PMT9312_0217,Q31CW6,Q31CW6_PROM9 Delta-aminolevulinic acid dehydratase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0217 PE=3 SV=1,H,Delta-aminolevulinic acid dehydratase,,K01698,Cytoplasmic,333,,,,,,,,,38,0.78,7.44E-09,3.36E-08,35.33,0.53,5.05E-09,2.28E-08
PMT9312_0398,Q31CD6,Q31CD6_PROM9 Putative long-chain-fatty-acid--CoA ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0398 PE=4 SV=1,I,long-chain-fatty-acid--CoA ligase,,K01897,Cytoplasmic,647,,,,,,,,,38,0.78,7.44E-09,3.36E-08,17,0.26,2.43E-09,1.10E-08
PMT9312_1757,Q317X7,Q317X7_PROM9 UDP-sulfoquinovose synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1757 PE=4 SV=1,M,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,,K06118,Cytoplasmic,397,,,,,,,,,37.67,0.77,7.37E-09,3.34E-08,23.67,0.36,3.38E-09,1.53E-08
PMT9312_0917,Q31AW8,Q31AW8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0917 PE=4 SV=1,S,Conserved protein domain typically associated with flavoprotein,,,Unknown,162,,,,,,,,,37.33,0.77,7.31E-09,3.31E-08,33.67,0.51,4.81E-09,2.18E-08
gmd,Q319S0,"Q319S0_PROM9 GDP-mannose 4,6-dehydratase OS=Prochlorococcus marinus (strain MIT 9312) GN=gmd PE=3 SV=1",M,"GDPmannose 4,6-dehydratase",,K01711,Cytoplasmic,367,,,,,,,,,37.33,0.77,7.31E-09,3.31E-08,24.67,0.37,3.52E-09,1.59E-08
petC,Q31C72,UCRI_PROM9 Cytochrome b6-f complex iron-sulfur subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=petC PE=3 SV=1,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K02636,CytoplasmicMembrane,178,,,,,,,,,36.33,0.75,7.11E-09,3.22E-08,25.67,0.39,3.67E-09,1.66E-08
gyrA,Q31AG2,Q31AG2_PROM9 DNA gyrase subunit A OS=Prochlorococcus marinus (strain MIT 9312) GN=gyrA PE=3 SV=1,L,"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)","GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0034641,GO:0034645,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658",K02469,Cytoplasmic,863,,,,,,,,,36.33,0.75,7.11E-09,3.22E-08,21,0.32,3.00E-09,1.36E-08
PMT9312_1016,Q31AL9,Q31AL9_PROM9 Glutathione peroxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1016 PE=3 SV=1,O,Glutathione peroxidase,,K00432,Periplasmic,159,,,,,,,,,36.33,0.75,7.11E-09,3.22E-08,14.33,0.22,2.05E-09,9.27E-09
PMT9312_0503,Q31C31,Q31C31_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0503 PE=4 SV=1,L,single-stranded DNA-binding protein,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",K03111,Unknown,141,,,,,,,,,36,0.74,7.05E-09,3.19E-08,38.67,0.58,5.52E-09,2.50E-08
PMT9312_0290,Q31CP4,Q31CP4_PROM9 Mg-protoporphyrin IX chelatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0290 PE=3 SV=1,H,"magnesium chelatase, ATPase subunit D",,K03404,Cytoplasmic,725,,,,,,,,,36,0.74,7.05E-09,3.19E-08,5,0.08,7.14E-10,3.23E-09
PMT9312_1840,A7FAE2,A7FAE2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1840 PE=4 SV=1,S,,,,CytoplasmicMembrane,66,,,,,,,,,36,0.74,7.05E-09,3.19E-08,3.67,0.06,5.24E-10,2.37E-09
rpoZ,Q318W1,RPOZ_PROM9 DNA-directed RNA polymerase subunit omega OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoZ PE=3 SV=1,S,,,,Unknown,78,,,,,,,,,35.67,0.73,6.98E-09,3.16E-08,7.67,0.12,1.10E-09,4.96E-09
PMT9312_0906,Q31AX9,Q31AX9_PROM9 Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0906 PE=3 SV=1,O,PPIases accelerate the folding of proteins (By similarity),,"K01802,K03767,K03768",Cytoplasmic,145,,,,,,,,,35.67,0.73,6.98E-09,3.16E-08,7,0.11,1.00E-09,4.52E-09
lysA,Q31AD5,Q31AD5_PROM9 Diaminopimelate decarboxylase OS=Prochlorococcus marinus (strain MIT 9312) GN=lysA PE=3 SV=1,E,Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity),,K01586,Cytoplasmic,457,,,,,,,,,35.33,0.73,6.91E-09,3.13E-08,27.67,0.42,3.95E-09,1.79E-08
PMT9312_0144,Q31D39,Q31D39_PROM9 RNA-binding region RNP-1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0144 PE=4 SV=1,S,RNA-binding,,,Unknown,139,,,,,,,,,35.33,0.73,6.91E-09,3.13E-08,8.33,0.13,1.19E-09,5.39E-09
atpH,Q318U0,ATPD_PROM9 ATP synthase subunit delta OS=Prochlorococcus marinus (strain MIT 9312) GN=atpH PE=3 SV=1,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0016469,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944",K02113,Unknown,180,,,,,,,,,35,0.72,6.85E-09,3.10E-08,66,0.99,9.43E-09,4.27E-08
PMT9312_0924,Q31AW1,Q31AW1_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0924 PE=4 SV=1,S,,,,Unknown,72,,,,,,,,,35,0.72,6.85E-09,3.10E-08,23.67,0.36,3.38E-09,1.53E-08
gatB,Q31DD5,GATB_PROM9 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Prochlorococcus marinus (strain MIT 9312) GN=gatB PE=3 SV=1,J,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity),,K02434,Cytoplasmic,490,,,,,,,,,34.33,0.71,6.72E-09,3.04E-08,13.67,0.21,1.95E-09,8.83E-09
atpE,Q318T7,ATPL_PROM9 ATP synthase subunit c OS=Prochlorococcus marinus (strain MIT 9312) GN=atpE PE=3 SV=1,S,,,,CytoplasmicMembrane,81,,,,,,,,,34,0.7,6.65E-09,3.01E-08,16,0.24,2.29E-09,1.03E-08
acsA,Q31BR5,Q31BR5_PROM9 Acetyl-coenzyme A synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=acsA PE=3 SV=1,I,"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)",,K01895,Cytoplasmic,660,,,,,,,,,33.67,0.69,6.59E-09,2.98E-08,19,0.29,2.71E-09,1.23E-08
nusG,Q31CX6,Q31CX6_PROM9 Transcription termination/antitermination protein NusG OS=Prochlorococcus marinus (strain MIT 9312) GN=nusG PE=3 SV=1,K,"Participates in transcription elongation, termination and antitermination (By similarity)",,K02601,Cytoplasmic,203,,,,,,,,,33.67,0.69,6.59E-09,2.98E-08,18.67,0.28,2.67E-09,1.21E-08
PMT9312_0969,Q31AR6,Q31AR6_PROM9 Cobaltochelatase CobN subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0969 PE=4 SV=1,H,Magnesium chelatase subunit H,,K03403,Cytoplasmic,1336,,,,,,,,,33.67,0.69,6.59E-09,2.98E-08,11,0.17,1.57E-09,7.11E-09
PMT9312_1242,Q319Z4,Q319Z4_PROM9 NAD(P) transhydrogenase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1242 PE=3 SV=1,C,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane (By similarity),,K00325,CytoplasmicMembrane,479,,,,,,,,,33.33,0.68,6.52E-09,2.95E-08,5,0.08,7.14E-10,3.23E-09
PMT9312_0481,Q31C53,Y481_PROM9 UPF0234 protein PMT9312_0481 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0481 PE=3 SV=1,S,UPF0234 protein,,K09767,Cytoplasmic,165,,,,,,,,,33,0.68,6.46E-09,2.92E-08,27.67,0.42,3.95E-09,1.79E-08
purL,Q31DI1,PURL_PROM9 Phosphoribosylformylglycinamidine synthase subunit PurL OS=Prochlorococcus marinus (strain MIT 9312) GN=purL PE=3 SV=1,F,Phosphoribosylformylglycinamidine synthase II,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01952,Cytoplasmic,779,,,,,,,,,32.67,0.67,6.39E-09,2.89E-08,15.67,0.24,2.24E-09,1.01E-08
clpP,Q319H5,Q319H5_PROM9 ATP-dependent Clp protease proteolytic subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=clpP PE=3 SV=1,O,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01358,Cytoplasmic,220,,,,,,,,,32.67,0.67,6.39E-09,2.89E-08,15.67,0.24,2.24E-09,1.01E-08
PMT9312_1715,Q318B9,"Q318B9_PROM9 Cell shape determining protein, MreB/Mrl family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1715 PE=4 SV=1",D,rod shape-determining protein MreB,,K03569,Cytoplasmic,350,,,,,,,,,32.33,0.66,6.33E-09,2.86E-08,41.33,0.62,5.90E-09,2.67E-08
PMT9312_0025,Q31DF9,Q31DF9_PROM9 Cyclophilin-type peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0025 PE=4 SV=1,O,Peptidyl-prolyl cis-trans isomerase,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0031977,GO:0044424,GO:0044436,GO:0044464",K01802,Unknown,363,,,,,,,,,32.33,0.66,6.33E-09,2.86E-08,25.33,0.38,3.62E-09,1.64E-08
